Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Australia,036,Output,14,14,Output (valuation not defined),15,Food and beverages,15,7.0002296875E10,M,5.148166494699E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),16,Tobacco products,16,1.56028710938E9,M,1.14747917957E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),17,Textiles,17,4.34379980469E9,M,3.19455298075E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),18,"Wearing apparel, fur",18,3.77789990234E9,M,2.77837421996E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),19,"Leather, leather products and footwear",19,9.9520001221E8,M,7.3189817864E8,
2004,Australia,036,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,1.030670019531E10,M,7.57983823176E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),21,Paper and paper products,21,8.97459960938E9,M,6.60017386213E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,2.0009328125E10,M,1.471542466935E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),23,"Coke,refined petroleum products,nuclear fuel",23,2.937384179688E10,M,2.160235233842E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,2.20164140625E10,M,1.619149231808E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,9.6035E9,M,7.0626849602E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),26,Non-metallic mineral products,26,1.682459960938E10,M,1.237328542953E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),27,Basic metals,27,3.74051015625E10,M,2.750876745355E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),28,Fabricated metal products,28,2.403280078125E10,M,1.767440002386E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),29,Machinery and equipment n.e.c.,29,1.035690039063E10,M,7.6167568723E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),30,"Office, accounting and computing machinery",30,1.04504443359E9,M,7.68555173E8,
2004,Australia,036,Output,14,14,Output (valuation not defined),31,Electrical machinery and apparatus,31,4.54198486328E9,M,3.34030386665E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),32,"Radio,television and communication equipment",32,3.23447290039E9,M,2.37872266442E9,
